1985,05,36.6383
1985,06,35.4184
1985,07,34.2709
1985,08,33.8411
1985,09,34.6826
1985,10,33.4498
1985,11,34.1048
1985,12,29.5807
1986,01,25.2609
1986,02,16.8622
1986,03,13.3181
1986,04,12.5621
1986,05,14.2754
1986,06,12.2961
1986,07,10.0871
1986,08,13.5117
1986,09,13.9921
1986,10,13.6932
1986,11,14.4211
1986,12,15.3397
1987,01,16.5182
1987,02,15.2809
1987,03,15.6204
1987,04,15.5698
1987,05,15.9458
1987,06,16.4063
1987,07,17.55
1987,08,17.0353
1987,09,16.0591
1987,10,16.3643
1987,11,14.6527
1987,12,13.4664
1988,01,13.3266
1988,02,13.1823
1988,03,12.113
1988,04,13.354
1988,05,13.4537
1988,06,13.2715
1988,07,13.1959
1988,08,13.5542
1988,09,12.124
1988,10,10.967
1988,11,10.9201
1988,12,12.5971
1989,01,14.3176
1989,02,14.2471
1989,03,16.0926
1989,04,17.1334
1989,05,16.5866
1989,06,16.361
1989,07,15.8494
1989,08,15.5932
1989,09,16.6387
1989,10,16.8312
1989,11,16.5044
1989,12,16.5556
1990,01,16.7469
1990,02,15.9543
1990,03,15.5888
1990,04,14.3945
1990,05,13.8889
1990,06,12.9999
1990,07,14.1022
1990,08,19.6245
1990,09,24.7658
1990,10,25.9843
1990,11,22.9635
1990,12,19.6288
1991,01,17.3363
1991,02,13.311
1991,03,14.6359
1991,04,15.834
1991,05,16.2415
1991,06,15.9808
1991,07,16.9726
1991,08,16.8707
1991,09,16.923
1991,10,18.1138
1991,11,16.7716
1991,12,14.0299
1992,01,13.822
1992,02,14.2537
1992,03,14.3985
1992,04,15.2454
1992,05,15.6683
1992,06,16.1721
1992,07,14.8679
1992,08,14.1948
1992,09,14.7056
1992,10,15.3818
1992,11,15.5
1992,12,14.7886
1993,01,14.563
1993,02,15.5528
1993,03,15.9781
1993,04,15.5139
1993,05,15.3603
1993,06,15.0512
1993,07,14.7874
1993,08,14.9624
1993,09,13.9188
1993,10,14.5146
1993,11,13.7115
1993,12,12.0738
1994,01,12.5688
1994,02,12.2547
1994,03,11.874
1994,04,13.0261
1994,05,13.8681
1994,06,14.2137
1994,07,14.4743
1994,08,13.9764
1994,09,13.1558
1994,10,13.0991
1994,11,13.7831
1994,12,13.2546
1995,01,13.3426
1995,02,13.5011
1995,03,12.8245
1995,04,13.6595
1995,05,13.8754
1995,06,12.9011
1995,07,11.871
1995,08,12.3954
1995,09,12.8179
1995,10,12.1219
1995,11,12.6176
1995,12,13.6362
1996,01,13.5422
1996,02,13.362
1996,03,14.5735
1996,04,15.8357
1996,05,14.9926
1996,06,14.5078
1996,07,15.2648
1996,08,15.7163
1996,09,17.7969
1996,10,19.0408
1996,11,17.8571
1996,12,18.815
1997,01,19.0961
1997,02,17.6215
1997,03,17.0163
1997,04,15.8286
1997,05,16.7818
1997,06,15.8726
1997,07,16.6621
1997,08,17.5709
1997,09,16.9914
1997,10,18.0412
1997,11,16.9764
1997,12,15.7648
1998,01,14.3927
1998,02,13.5061
1998,03,12.7433
1998,04,13.017
1998,05,13.0171
1998,06,12.2412
1998,07,11.8878
1998,08,11.2511
1998,09,11.8583
1998,10,11.1202
1998,11,10.185
1998,12,8.7563
1999,01,9.5267
1999,02,9.4106
1999,03,11.878
1999,04,14.4228
1999,05,14.896
1999,06,15.6664
1999,07,18.1469
1999,08,19.3069
1999,09,21.6807
1999,10,20.7934
1999,11,23.4241
1999,12,24.8273
2000,01,24.9276
2000,02,27.4256
2000,03,28.1746
2000,04,24.5615
2000,05,30.2532
2000,06,31.2514
2000,07,30.4733
2000,08,33.3047
2000,09,37.2103
2000,10,36.7711
2000,11,37.7163
2000,12,28.8488
2001,01,27.4682
2001,02,29.8793
2001,03,28.0598
2001,04,29.7733
2001,05,32.6926
2001,06,32.4803
2001,07,29.4168
2001,08,28.7054
2001,09,28.7614
2001,10,23.8075
2001,11,21.6987
2001,12,21.469
2002,01,22.5709
2002,02,23.4545
2002,03,27.8976
2002,04,29.2965
2002,05,28.1191
2002,06,25.812
2002,07,25.931
2002,08,26.9925
2002,09,28.9213
2002,10,27.8898
2002,11,24.2473
2002,12,27.1056
2003,01,28.2833
2003,02,29.8076
2003,03,27.1826
2003,04,22.8764
2003,05,21.938
2003,06,23.3076
2003,07,24.9572
2003,08,26.4694
2003,09,23.9297
2003,10,24.7033
2003,11,24.646
2003,12,24.0496
2004,01,24.2096
2004,02,24.0717
2004,03,26.6673
2004,04,27.6457
2004,05,30.8791
2004,06,29.3277
2004,07,30.7268
2004,08,34.1204
2004,09,35.0205
2004,10,39.3565
2004,11,34.4724
2004,12,29.9761
2005,01,33.6007
2005,02,35.2464
2005,03,40.4137
2005,04,41.3922
2005,05,39.4243
2005,06,45.7259
2005,07,48.2549
2005,08,52.0461
2005,09,52.1871
2005,10,49.3474
2005,11,47.8653
2005,12,48.5179
2006,01,52.4815
2006,02,51.817
2006,03,52.5811
2006,04,57.5616
2006,05,55.7091
2006,06,55.4378
2006,07,58.7493
2006,08,57.794
2006,09,50.282
2006,10,47.6976
2006,11,46.7381
2006,12,47.4282
2007,01,42.2269
2007,02,44.9066
2007,03,47.2648
2007,04,50.2325
2007,05,50.2504
2007,06,52.5685
2007,07,55.2325
2007,08,52.3674
2007,09,55.1692
2007,10,57.7252
2007,11,62.8231
2007,12,62.7599
2008,01,62.4387
2008,02,64.0862
2008,03,66.1209
2008,04,69.8474
2008,05,80.1039
2008,06,85.9319
2008,07,85.2843
2008,08,77.0383
2008,09,69.9981
2008,10,55.2039
2008,11,43.1188
2008,12,32.077
2009,01,34.2974
2009,02,34.5613
2009,03,36.5235
2009,04,39.0474
2009,05,42.8033
2009,06,49.5164
2009,07,46.459
2009,08,51.1313
2009,09,46.9331
2009,10,49.7654
2009,11,52.0729
2009,12,51.6425
2010,01,53.9784
2010,02,54.4891
2010,03,59.0665
2010,04,63.9929
2010,05,61.6167
2010,06,62.1816
2010,07,58.9178
2010,08,59.9151
2010,09,59.8432
2010,10,60.2167
2010,11,63.1009
2010,12,69.578
2011,01,72.5877
2011,02,76.6326
2011,03,82.1068
2011,04,85.1395
2011,05,79.8296
2011,06,79.0854
2011,07,81.7058
2011,08,76.714
2011,09,79.8159
2011,10,78.9365
2011,11,81.3574
2011,12,81.6568
2012,01,86.2344
2012,02,89.7464
2012,03,94.2123
2012,04,91.3811
2012,05,86.0061
2012,06,76.4181
2012,07,83.3615
2012,08,90.4529
2012,09,87.9202
2012,10,85.59
2012,11,84.8372
2012,12,82.7839
2013,01,84.1874
2013,02,86.7123
2013,03,84.1555
2013,04,79.3453
2013,05,79.2452
2013,06,78.3375
2013,07,81.8711
2013,08,82.5541
